"Model","Subset","Replicate","K","Lambda","Subset_Type"
"BM","random_5",2,NA,NA,"random"
"BM","random_5",3,NA,NA,"random"
"BM","random_5",4,NA,NA,"random"
"BM","random_5",5,NA,NA,"random"
"BM","random_5",6,NA,NA,"random"
"BM","random_5",7,NA,NA,"random"
"BM","random_5",8,NA,NA,"random"
"BM","random_5",9,NA,NA,"random"
"BM","random_5",10,NA,NA,"random"
"BM","random_5",11,NA,NA,"random"
"BM","random_5",12,NA,NA,"random"
"BM","random_5",13,NA,NA,"random"
"BM","random_5",14,NA,NA,"random"
"BM","random_5",15,NA,NA,"random"
"BM","random_5",16,NA,NA,"random"
"BM","random_5",17,NA,NA,"random"
"BM","random_5",18,NA,NA,"random"
"BM","random_5",19,NA,NA,"random"
"BM","random_5",20,NA,NA,"random"
"BM","random_5",21,NA,NA,"random"
"BM","random_5",22,NA,NA,"random"
"BM","random_5",23,NA,NA,"random"
"BM","random_5",24,NA,NA,"random"
"BM","random_5",25,NA,NA,"random"
"BM","random_5",26,NA,NA,"random"
"BM","random_5",27,NA,NA,"random"
"BM","random_5",28,NA,NA,"random"
"BM","random_5",29,NA,NA,"random"
"BM","random_5",30,NA,NA,"random"
"BM","random_5",31,NA,NA,"random"
"BM","random_5",32,NA,NA,"random"
"BM","random_5",33,NA,NA,"random"
"BM","random_5",34,NA,NA,"random"
"BM","random_5",35,NA,NA,"random"
"BM","random_5",36,NA,NA,"random"
"BM","random_5",37,NA,NA,"random"
"BM","random_5",38,NA,NA,"random"
"BM","random_5",39,NA,NA,"random"
"BM","random_5",40,NA,NA,"random"
"BM","random_5",41,NA,NA,"random"
"BM","random_5",42,NA,NA,"random"
"BM","random_5",43,NA,NA,"random"
"BM","random_5",44,NA,NA,"random"
"BM","random_5",45,NA,NA,"random"
"BM","random_5",46,NA,NA,"random"
"BM","random_5",47,NA,NA,"random"
"BM","random_5",48,NA,NA,"random"
"BM","random_5",49,NA,NA,"random"
"BM","random_5",50,NA,NA,"random"
"BM","random_5",51,NA,NA,"random"
"BM","random_5",52,NA,NA,"random"
"BM","random_5",53,NA,NA,"random"
"BM","random_5",54,NA,NA,"random"
"BM","random_5",55,NA,NA,"random"
"BM","random_5",56,NA,NA,"random"
"BM","random_5",57,NA,NA,"random"
"BM","random_5",58,NA,NA,"random"
"BM","random_5",59,NA,NA,"random"
"BM","random_5",60,NA,NA,"random"
